objid,u,g,r,i,dered_u,dered_g,dered_r,dered_i,z,camcol,field,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,specobjid,specClass,z,objType,mag_0,mag_1,mag_2
587725550654718024,19.520784,19.437515,19.413166,19.24226,19.200476,19.201836,19.242231,19.112646,2.00493,2,50,19.527037,19.441271,19.418348,19.251305,19.052505,122101459016744960,3,2.00493,1,19.756142,19.660225,19.419985
587725551747465345,19.876013,18.386515,18.211388,18.131588,19.839212,18.359436,18.191748,18.116695,2.96251,4,340,19.843357,18.376102,18.198824,18.110676,18.113237,138708834741911552,4,2.96251,1,18.756981,18.403116,18.309078
587725551750545498,20.143665,18.618505,18.456699,18.342999,20.04447,18.545519,18.403763,18.302858,3.11137,4,387,20.120422,18.611031,18.457804,18.347301,18.262501,139553401661816832,3,3.11137,1,18.628622,18.409681,18.310156
587727178474258678,24.037689,20.755909,19.799725,19.190451,23.484167,20.348633,19.504333,18.966465,3.18,2,461,24.089401,20.773624,19.839138,19.22172,18.669401,130545858167963648,3,3.18,1,20.918098,19.941555,19.25572
587727180066848802,19.348148,18.69396,18.55995,18.49375,19.139318,18.540306,18.448507,18.409246,2.28828,5,186,19.353851,18.696201,18.562531,18.50127,18.240713,185434502481313792,4,2.28828,1,18.435158,18.367905,18.355547
587727180083822793,23.482809,21.075903,20.486359,19.689693,23.210369,20.875444,20.340969,19.579449,3.23918,5,445,23.547256,21.06142,20.478157,19.675398,19.528635,130264388463493120,3,3.23918,1,21.231255,20.534349,19.71542
587727180614271062,21.295881,19.645124,19.394957,19.396013,21.187029,19.565031,19.336866,19.351965,3.17693,6,347,21.274834,19.643106,19.389477,19.393164,19.459373,128294064247275520,4,3.17693,1,19.763,19.430883,19.384949
587727180616826984,20.876049,19.1772,18.920588,18.886244,20.527807,18.920967,18.734745,18.745325,3.04025,6,386,20.865234,19.179419,18.910429,18.880619,18.743237,129138574430830592,4,3.04025,1,19.252464,18.953033,18.850319
587727212268355921,19.244246,18.504417,18.492908,18.488417,19.052715,18.363491,18.390697,18.410913,2.60917,1,22,19.234972,18.545706,18.520578,18.522308,18.130774,178679177942138880,4,2.60917,1,18.611841,18.608347,18.571043
587727229449338902,17.743189,17.415396,17.213957,17.073811,17.564739,17.284094,17.118727,17.0016,2.12905,1,39,17.75647,17.416843,17.257387,17.086672,16.922462,187123470549647360,3,2.12905,1,17.49614,17.214933,17.061794
587727231596167439,24.167971,21.496071,20.615055,20.080341,24.038708,21.400961,20.546074,20.028034,2.1584,5,29,23.715628,21.487629,20.603863,20.075056,19.458805,186841872885350400,3,2.1584,1,21.514114,20.536638,19.972513
587727865643729013,19.727474,19.169079,19.080336,19.066006,19.490015,18.994358,18.953613,18.969917,2.21601,2,75,19.714878,19.169983,19.081865,19.064316,18.803101,152782748061270016,3,2.21601,1,19.253918,19.154215,19.056271
587727874231828514,18.892132,19.133347,18.978458,18.800924,18.731274,19.01499,18.892616,18.735832,2.06565,2,47,18.91482,19.148336,19.008694,18.84947,18.565729,182058420222820352,3,2.06565,1,19.169186,19.106655,18.933058
587727874768371902,21.856487,20.608746,19.919056,19.779835,21.704721,20.497078,19.838066,19.718422,2.37765,3,42,21.861258,20.613804,19.924086,19.782604,19.228865,182058421032321024,3,2.37765,1,21.017445,20.262094,20.118681
587727875843162215,23.894451,18.773781,18.00967,17.855982,23.737823,18.658537,17.926085,17.792603,3.31692,5,58,23.69965,18.790466,18.029188,17.865974,17.751358,182340024967102464,3,3.31692,1,18.708858,17.909554,17.750904
587728678469238847,18.847908,18.26984,18.226589,18.182886,18.731485,18.184177,18.164459,18.135775,2.45807,4,120,18.842869,18.2726,18.226891,18.168755,17.996859,169391158466707456,4,2.45807,1,18.453068,18.293428,18.263815
587728879807430768,19.629681,19.37706,19.181568,19.111971,19.413185,19.217764,19.066034,19.024364,2.16148,3,297,19.660357,19.420786,19.238897,19.160677,18.939419,163198801975181312,3,2.16148,1,19.450567,19.263849,19.193745
587728880339386548,20.163385,19.763073,19.48275,18.98284,20.073038,19.696596,19.434536,18.94628,2.05627,4,222,20.186932,19.795504,19.520329,19.013798,18.62055,161509898000007168,3,2.05627,1,19.840563,19.621103,19.146509
587728931868704864,18.63868,18.136332,17.899517,17.759995,18.425552,17.979515,17.78578,17.673752,2.22708,4,65,18.639923,18.15671,17.922594,17.776072,17.595224,212456468476067840,3,2.22708,1,18.159264,17.858065,17.725281
587731512076992703,22.320969,21.244184,20.247822,19.686518,22.180101,21.140535,20.172647,19.629515,2.14631,2,167,22.294228,21.257078,20.266497,19.711849,19.226963,114782881854783488,3,2.14631,1,22.215754,20.570194,19.871145
587731520668172481,25.26613,19.716902,18.865456,18.731518,25.126936,19.614483,18.791174,18.675192,3.5667,2,186,25.224062,19.719711,18.857992,18.729443,18.690908,233567365504172032,4,3.5667,1,19.909233,19.016081,18.871387
587731679583207564,19.209635,18.976135,18.905136,18.811953,19.130329,18.917784,18.862814,18.779861,2.15856,2,205,19.215157,18.99279,18.899124,18.812824,18.571554,234411859850035200,3,2.15856,1,18.98797,18.910847,18.733564
587731680116933036,24.504347,22.284519,20.306498,20.133112,24.326471,22.153641,20.211573,20.061134,4.33894,3,157,24.419977,22.251291,20.297174,20.125944,19.958817,233285982600822784,4,4.33894,1,22.679968,20.326433,20.056837
587731681192181977,24.064857,20.973898,20.178413,19.553825,23.908005,20.858488,20.094707,19.490355,2.98218,5,180,23.942696,20.990232,20.220415,19.58194,19.262955,233848828829106176,2,2.98218,1,21.432602,20.532537,19.715317
587731870163992806,20.889206,19.323191,19.093224,18.861784,20.842478,19.288809,19.068287,18.842875,2.76621,5,77,20.863691,19.322514,19.100451,18.87854,18.747313,283953152846200832,4,2.76621,1,19.285936,19.043495,18.831291
587731870702698659,23.283348,20.370451,20.265575,20.15509,23.186609,20.299271,20.213949,20.115944,3.17765,6,105,23.268707,20.35854,20.25514,20.146555,19.97847,284515853632798720,3,3.17765,1,20.37067,20.171597,20.116396
587731873921826899,19.60618,18.952513,18.827595,18.729151,19.294941,18.723507,18.661501,18.603207,2.39789,4,73,19.585835,18.973942,18.831669,18.731747,18.535198,250738572540248064,4,2.39789,1,18.832047,18.71817,18.708965
587731873927201110,26.72533,23.276293,20.286913,19.063046,26.52453,23.128546,20.179754,18.981791,4.88469,4,155,26.695078,23.25429,20.292568,19.059326,18.841434,252145938968084480,3,4.88469,1,25.525356,20.332127,19.061909
587731874462761214,20.431435,19.673885,19.11071,19.047623,20.220869,19.518953,18.998341,18.962416,2.4125,5,135,20.426027,19.675728,19.115877,19.051058,18.863337,251583023936438272,3,2.4125,1,20.014521,19.418936,19.319942
587731886272676065,22.639332,20.21979,19.743315,19.543533,22.367369,20.019682,19.598179,19.433481,3.17732,3,116,22.615356,20.22884,19.759966,19.54822,19.404778,251583023294709760,3,3.17732,1,20.613544,20.040478,19.822208
587731886809678177,23.519917,20.684341,20.024242,19.839294,23.290388,20.515457,19.901754,19.746414,3.46423,4,118,23.320997,20.734493,20.080606,19.900366,19.835569,251583023252766720,3,3.46423,1,20.961893,20.16445,20.025726
587731887347532166,23.303133,22.782331,20.632589,20.060177,23.085388,22.622116,20.516388,19.972065,4.33662,5,133,23.309048,22.769339,20.633574,20.049393,19.818359,251583024427171840,4,4.33662,1,23.170534,20.750587,20.070869
587731892185989162,19.345697,18.716242,18.548832,18.517324,19.287182,18.673187,18.517605,18.493647,2.4988,6,234,19.330008,18.747715,18.547678,18.520123,18.334507,255804221553639424,4,2.4988,1,18.639183,18.609631,18.655128
587731892188938253,19.041882,18.84787,18.76812,18.651903,18.966827,18.792646,18.728067,18.621532,2.09225,6,279,19.03298,18.849489,18.77742,18.657419,18.464012,370085968776003584,3,2.09225,1,18.883875,18.895922,18.842035
587731913109799025,19.563204,18.160671,17.847006,17.807972,19.463715,18.087467,17.793913,17.767714,3.33686,5,18,19.569761,18.165764,17.836361,17.816347,17.718525,253272007775354880,4,3.33686,1,18.252663,17.921873,17.898224
587731913647980690,23.139566,20.212696,19.817852,19.410843,23.053986,20.149727,19.772181,19.376211,3.26549,6,38,23.102112,20.20426,19.806067,19.410973,19.295691,253835046853541888,3,3.26549,1,20.228224,19.74107,19.316301
587732050554388712,19.917439,19.652719,19.383913,19.04458,19.835791,19.592644,19.340342,19.011541,2.08829,5,104,19.914022,19.666817,19.412622,19.05155,18.879337,253272006915522560,3,2.08829,1,19.645493,19.285889,19.042597
587732053239005574,20.53961,18.892208,18.234808,18.123487,20.326796,18.735622,18.121239,18.037371,2.23321,2,108,20.548174,18.924969,18.210388,18.122032,18.110369,262279201560723456,3,2.23321,1,24.164274,22.890625,22.882116
587732053775155266,19.525078,18.978098,18.850124,18.827869,19.329077,18.833881,18.745527,18.748556,2.25165,3,97,19.495619,18.983063,18.840967,18.82563,18.622242,242574659952836608,3,2.25165,1,18.932892,18.828747,18.790682
587732053778694298,19.432627,18.973818,18.838913,18.758678,19.223007,18.819582,18.727049,18.673855,2.16787,3,151,19.450836,18.98711,18.861462,18.771267,18.545403,243419093376434176,3,2.16787,1,19.047604,18.906498,18.823595
587738066195972241,19.439936,19.366423,19.179071,18.897293,19.014015,19.053034,18.951777,18.724941,2.07103,2,150,19.439692,19.387388,19.181831,18.894312,18.567348,527150449829085184,3,2.07103,1,19.346453,19.135151,18.890755
587725550660092115,26.114763,20.276072,19.114132,18.85902,25.837257,20.071886,18.96604,18.746725,3.57281,2,132,26.085438,20.31348,19.152842,18.895142,18.70936,124071834348945408,3,3.57281,1,20.31222,19.129837,18.950403
587725550671822988,24.290695,20.663107,19.496037,19.374128,24.099415,20.522364,19.393959,19.296726,3.80081,2,311,24.106956,20.679293,19.510939,19.376501,19.379328,138145772955762688,4,3.80081,1,20.486498,19.409113,19.368158
587725550674051230,20.279739,19.458178,19.153908,18.814615,20.222017,19.415707,19.123104,18.791258,2.32731,2,345,20.262571,19.469587,19.162294,18.821085,18.378252,138708834121154560,3,2.32731,1,19.463594,19.180704,18.834578
587725550677197484,22.714848,21.202946,20.614544,20.469624,22.622229,21.134796,20.565117,20.432144,2.32027,2,393,22.659296,21.217352,20.619329,20.482222,20.001978,139553400793595904,3,2.32027,1,21.21698,20.711594,20.407753
587725551742025924,21.765991,20.607559,20.220428,19.915768,21.615271,20.49666,20.139996,19.854778,2.62825,4,257,21.761208,20.640755,20.262215,19.958021,19.431396,137301408411025408,3,2.62825,1,21.661917,20.934002,20.634333
587725551742877783,19.502031,18.931345,18.772284,18.797834,19.39072,18.849443,18.712881,18.752792,2.3843,4,270,19.498709,18.921585,18.763496,18.799948,18.502117,137301409279246336,4,2.3843,1,19.080313,18.904289,18.947388
587725552270180619,23.485937,21.138285,20.190495,20.028299,23.277718,20.985079,20.079378,19.944042,3.47341,5,124,23.584095,21.176588,20.260201,20.084318,20.191309,123508881618894848,4,3.47341,1,21.253096,20.28163,20.119045
587727178458398859,19.367798,18.774363,18.764805,18.693165,19.200895,18.651556,18.675735,18.625628,2.21306,2,219,19.369299,18.749557,18.748396,18.682276,18.461634,186278998882385920,3,2.21306,1,18.817715,18.706179,18.667603
587727178470785150,19.449215,19.064884,18.811676,18.657509,19.068722,18.784922,18.608624,18.50354,2.22415,2,408,19.464716,19.064795,18.822304,18.656788,18.536642,129420026468892672,0,2.22415,1,19.101898,18.815804,18.708241
587727178476486876,21.711029,19.923639,19.510248,19.204084,21.299042,19.620502,19.290388,19.037371,2.685,2,495,21.700191,19.928444,19.51495,19.2169,18.796314,131108816522575872,3,2.685,1,19.977198,19.507942,19.178856
587727179534958634,21.081593,18.538143,18.017832,17.850563,20.944246,18.437086,17.944536,17.794985,3.31305,4,262,21.02533,18.530138,18.016544,17.851225,17.758593,187404920708661248,4,3.31305,1,18.642864,18.030125,17.86095
587727180604178470,18.727489,18.180492,18.093197,18.077412,18.481344,17.999382,17.96184,17.977808,2.35015,6,193,18.711445,18.180279,18.079824,18.059015,17.930677,185716204411813888,4,2.35015,1,18.169613,18.093882,18.06802
587728669882122512,22.832048,20.174995,19.822952,19.72061,22.65971,20.048191,19.730982,19.650871,3.26575,4,163,22.783972,20.173439,19.818541,19.711439,19.575169,154753019878047744,4,3.26575,1,20.218664,19.776178,19.702713
587728677929484445,22.154758,19.398928,19.119139,19.249731,21.995653,19.281858,19.034231,19.185349,3.20357,3,76,22.103207,19.411961,19.121561,19.260168,19.122295,168546732865486848,3,3.20357,1,19.541798,19.255579,19.314728
587728878730018959,21.020025,19.696665,19.469183,19.644289,20.820217,19.549648,19.362555,19.563435,3.02527,1,241,21.045122,19.701622,19.481628,19.65896,19.39576,162072821013413888,4,3.02527,1,19.774105,19.55312,19.787817
587728879259353377,21.615328,19.11347,18.669773,18.566721,21.398708,18.954082,18.554173,18.479065,3.2951,2,126,21.573891,19.104795,18.672226,18.563488,18.547451,159539197378560000,4,3.2951,1,19.155415,18.686985,18.633778
587728880331325628,19.598169,18.94042,18.720213,18.414049,19.382366,18.781633,18.605047,18.326723,2.24497,4,99,19.605326,18.949816,18.718464,18.413269,18.085602,159257668521820160,3,2.24497,1,19.047266,18.789291,18.478809
587728917375615066,19.545444,19.115583,18.976866,18.940681,19.489775,19.074623,18.947157,18.918154,2.22813,1,102,19.530176,19.125521,18.976278,18.938877,18.817673,171360472572887040,3,2.22813,1,19.175629,18.973061,18.963125
587731521203666969,19.779606,19.209297,19.131214,19.098988,19.582014,19.063911,19.025768,19.019032,2.29701,3,165,19.763464,19.227909,19.123919,19.10251,18.864941,233004486631620608,3,2.29701,1,19.116051,19.056839,19.033609
587731521733722446,19.513134,19.155914,19.12862,19.021061,19.270193,18.977161,18.998974,18.922754,2.10943,4,61,19.538492,19.165623,19.151268,19.042625,18.961102,298307993949175808,3,2.10943,1,19.361971,19.32016,19.268009
587731522272624679,19.642088,19.130175,18.99972,18.968559,19.355234,18.919109,18.846638,18.852482,2.41219,5,92,19.660397,19.15756,19.029825,18.99482,18.859787,298589546902192128,4,2.41219,1,19.380339,19.139048,19.173992
587731679043780653,19.042477,18.916409,18.879074,18.724327,18.90382,18.814386,18.805079,18.668219,2.09882,1,166,19.034788,18.928762,18.875212,18.70891,18.475422,233567365667749888,3,2.09882,1,19.088749,19.003677,18.900877
587731680114376793,19.555672,19.342827,19.280849,19.086617,19.283224,19.142363,19.135456,18.97637,2.12183,3,118,19.548857,19.350883,19.296757,19.094162,18.735508,232722936753029120,3,2.12183,1,19.391382,19.324493,19.062393
587731870706892938,25.100197,20.785175,20.275465,20.030466,25.039392,20.740435,20.243015,20.005861,3.21363,6,169,24.918385,20.788633,20.299562,20.072237,20.051186,286205176073682944,4,3.21363,1,20.758055,20.167004,20.025139
587731872851099931,23.782949,20.796309,19.910971,19.834053,23.485159,20.577196,19.752052,19.713551,3.62064,2,119,23.661098,20.792273,19.910381,19.828058,19.794628,251300643635986432,3,3.62064,1,20.832796,19.884539,19.750624
587731885733970274,25.068996,21.875357,20.313622,20.189238,24.770542,21.655756,20.154348,20.068466,3.70627,2,88,24.755243,21.87941,20.3248,20.20647,19.714821,251020050838847488,3,3.70627,1,21.822685,20.360519,20.245319
587731885741899903,21.738943,19.819563,19.525404,19.415197,21.65251,19.755966,19.479279,19.380222,3.20717,2,209,21.756952,19.821783,19.522764,19.41168,19.483847,252990470467092480,4,3.20717,1,19.694155,19.361095,19.282696
587731886813282410,19.067698,18.588974,18.310921,18.154461,18.914349,18.476141,18.229084,18.092407,2.09446,4,173,19.064188,18.596699,18.311325,18.144215,17.994097,252427460883251200,3,2.09446,1,18.618057,18.368061,18.216839
587731891650101418,20.709263,19.981409,19.292395,19.007765,20.617424,19.913834,19.243383,18.970602,2.23319,5,249,20.678175,19.963018,19.287083,18.999683,18.63727,368677357474545664,3,2.23319,1,20.067257,19.376503,19.067801
